"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"MAU CURHAT? DM KITA BEB~(˘▾˘)~ KALO NGGAK ASK KITA JUGA BISA ask me https://t.co/kCl8DdtZEN  ~(˘▾˘)~",FALSE,0,NA,"2020-04-15 08:24:35",FALSE,NA,"1250339223997018112",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","NCK_AgencyRP",0,FALSE,FALSE,NA,NA
"aku nerima kapan aja kok, asal plis jangan pas aku lg curhat, aku butuh didengerin, ga perlu nasihat, ga perlu ceri… https://t.co/Z4VEL2IkNd",FALSE,0,"loquesientoreal","2020-04-15 08:24:11",TRUE,"1250338766281035776","1250339123291762688","1070829346728763392","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","loquesientoreal",0,FALSE,FALSE,NA,NA
"RT @GadisBaliReal: pejantan tangguh yg suka bawa roket, mau ga jdi tmen curhat Tante.. https://t.co/mvGjrkcGHj",FALSE,0,NA,"2020-04-15 08:24:09",FALSE,NA,"1250339112650829824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ulidakbar2020",18,TRUE,FALSE,NA,NA
"RT @beINSPORTSid: Bintang Madrid Eden Hazard curhat bahwa memang sulit baginya untuk menahan nafsu makan setelah sempat dikritik karena kel…",FALSE,0,NA,"2020-04-15 08:24:07",FALSE,NA,"1250339105084301312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JanuarRiky",2,TRUE,FALSE,NA,NA
"Curhat malah nambah pikiran",FALSE,0,"yoursolvent","2020-04-15 08:23:45",FALSE,"1250338905276076032","1250339014499917824","864690170435575808","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yoursolvent",0,FALSE,FALSE,NA,NA
"@taarufonline Yang bisa bertikar pikiran, tempat curhat, dll. Sexnya ada, tpi ga harus selalu. Trus sexnya jga ga h… https://t.co/NqjKB9IypQ",FALSE,0,"taarufonline","2020-04-15 08:23:32",TRUE,"1250337128329834496","1250338958732484608","1068560677827047424","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NiNiYon1",0,FALSE,FALSE,NA,NA
"@alratasha Sampe dibawain ke rumah alat2 makeup bejibun tapi belom teracuni wkwkwk 🙂🙂🙂

Btw curhat tengah malem.. j… https://t.co/aT9cYjrDqp",FALSE,0,"alratasha","2020-04-15 08:23:29",TRUE,"1250332312899710976","1250338945050619904","1012644366811197440","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itsmeslvrsky",0,FALSE,FALSE,NA,NA
"Lagi curhat marah2 nyeritain bos trus kekirimnya malah ke ybs tu gimana sik https://t.co/wVB6WwTkw0",FALSE,0,NA,"2020-04-15 08:23:25",FALSE,NA,"1250338929863045120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dhianynadya",0,FALSE,FALSE,NA,NA
"@subtanyarl Aplot poto selfie sama curhat laah",FALSE,0,"subtanyarl","2020-04-15 08:23:14",FALSE,"1250319516501831680","1250338884463951872","1601089260","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","awpineu",0,FALSE,FALSE,NA,NA
"Kalo fambest bisa di ajak curhat gibah :)
Kalo cp aku tidak tahu :) https://t.co/vTJw55bWdL",FALSE,0,NA,"2020-04-15 08:23:05",FALSE,NA,"1250338846518075392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vickyweii_",0,FALSE,FALSE,NA,NA
